id,date,text,views,forwards,replies,reactions,hour,weekday,love_reactions,total_reactions
19239,2025-06-14 06:24:47+00:00,"Уверенность в себе никогда не бывает лишней. Поэтому подобрали дезодоранты «Рексона» для разных случаев: 

👉на свидание — антиперспирант «Минеральная пудра» 
👉на концерт — антиперспирант-аэрозоль 3в1
👉на отдых на природе — дезодорант-спрей «Яркий букет»

Реклама",96005,47,41,"{""ReactionEmoji(emoticon='❤')"": 482, 'ReactionCustomEmoji(document_id=5294214784856649592)': 215, ""ReactionEmoji(emoticon='⚡')"": 81, ""ReactionEmoji(emoticon='👍')"": 49, ""ReactionEmoji(emoticon='🔥')"": 27, ""ReactionEmoji(emoticon='😍')"": 18, ""ReactionEmoji(emoticon='😁')"": 14, ""ReactionEmoji(emoticon='😇')"": 8}",6,5,482,894
20486,2025-08-25 10:43:38+00:00,"Такой сыворотки у Garnier еще не было🍊

В ней есть чистый витамин С в концентрации 10% — далеко не во всех средствах он стабилизированный и такой концентрированный! Эта форма действует в разы эффективнее: выравнивает тон и осветляет пигментацию х2.

Сыворотку нужно наносить на ночь, уже через несколько суток можно будет увидеть результат — отдохнувшую, свежую и увлажненную кожу. 

Реклама",90084,92,27,"{""ReactionEmoji(emoticon='❤')"": 551, 'ReactionCustomEmoji(document_id=5294214784856649592)': 268, ""ReactionEmoji(emoticon='👍')"": 142, ""ReactionEmoji(emoticon='🔥')"": 63, ""ReactionEmoji(emoticon='😍')"": 13, ""ReactionEmoji(emoticon='⚡')"": 12, ""ReactionEmoji(emoticon='😁')"": 12, ""ReactionEmoji(emoticon='😇')"": 10}",10,0,551,1071
18456,2025-04-30 09:17:41+00:00,"История Clarins началась более 70 лет назад на улице Тронше, 35 в Париже. Именно здесь располагался первый Институт красоты. Жак Куртен-Кларанс, основатель бренда, внимательно слушал женщин и узнавал, что им на самом деле хотелось получить от косметических средств. Клиентоориентированность стала ключевым отличием Clarins от других марок того времени. 

Жак Куртен-Кларанс решил сделать ставку на применение растительных ингредиентов в своих средствах и не прогадал. Бренд и сегодня разделяет видение основателя. В лабораториях по всему миру ученые постоянно исследуют редкие растения, чтобы извлечь из них максимальную пользу. Например, в линии Multi-Intensive используется природный аналог ретинола — экстракт харунганы, который не менее эффективен. В 2016 году бренд создал природную лабораторию под открытым небом. В ней на огромном участке изучается и выращивается множество растений, которые потом используются в средствах Clarins. 

Сегодня бренд возглавляют Джонатан Зриен, доктор Оливье Куртен, его племянница и внучка основателя Виржини Куртен, поэтому Clarins до сих пор остается семейной компанией. 

Французский бренд продолжает выпускать новые продукты и улучшать формулы уже полюбившихся средств. Об одном таком расскажем подробнее в следующем посте.",96482,82,35,"{""ReactionEmoji(emoticon='❤')"": 821, 'ReactionCustomEmoji(document_id=5343638107403087029)': 346, ""ReactionEmoji(emoticon='⚡')"": 136, ""ReactionEmoji(emoticon='🔥')"": 89, ""ReactionEmoji(emoticon='👍')"": 53, ""ReactionEmoji(emoticon='😁')"": 12, ""ReactionEmoji(emoticon='😇')"": 10}",9,2,821,1467
18127,2025-04-11 15:30:12+00:00,"Уже собрались снова взять хитовый White Musk, но нашли у Tesori d’Oriente еще один классный кондиционер.

Это — Japanese Rituals с цветочным ароматом, который воплощает восточное спокойствие и гармонию. Из отзывов узнали, что композиция из цитрусов, жасмина и ландыша дарит текстилю «шикарный запах, как дорогой парфюм» — и сразу положили в корзину.

Сейчас подходящий момент, чтобы его попробовать — до 30 апреля на все кондиционеры Tesori d’Oriente действует скидка 20%.

Реклама",129416,228,68,"{""ReactionEmoji(emoticon='❤')"": 696, ""ReactionEmoji(emoticon='🔥')"": 196, ""ReactionEmoji(emoticon='👍')"": 167, ""ReactionEmoji(emoticon='⚡')"": 89, 'ReactionCustomEmoji(document_id=5341436820699768952)': 32, ""ReactionEmoji(emoticon='😍')"": 23, ""ReactionEmoji(emoticon='😇')"": 16, ""ReactionEmoji(emoticon='😁')"": 11}",15,4,696,1230
20039,2025-07-29 11:57:47+00:00,"Ливан, Япония, Корея — и это только часть стран, откуда к нам приехали новые бренды!

Отыскали у них самые интересные банки, чтобы отправиться в бьюти-путешествие (то есть всё попробовать):

➖ парфюмерная вода Elie Saab
➖ тинт для губ и щек 2MOOD Beauty
➖ восстанавливающий крем-гель Adjupex
➖ бальзам для губ Hera
➖ набор парфюмерной воды oLiente
➖ очищающая пенка OHUI

Реклама",91527,86,31,"{""ReactionEmoji(emoticon='❤')"": 672, ""ReactionEmoji(emoticon='😍')"": 202, 'ReactionCustomEmoji(document_id=5408936677047570928)': 194, ""ReactionEmoji(emoticon='😁')"": 67, ""ReactionEmoji(emoticon='👍')"": 35, ""ReactionEmoji(emoticon='🔥')"": 25, ""ReactionEmoji(emoticon='⚡')"": 13, ""ReactionEmoji(emoticon='😇')"": 7}",11,1,672,1215
20146,2025-08-05 06:19:41+00:00,"Новый санскрин Bioderma подходит даже младенцам🧡

Внутри Photoderm Pediatrics Mineral с SPF 50+ — минеральные фильтры, витамин Е и липиды. Это сочетание бережно защищает от солнца нежную детскую кожу, включая атопичную.

Текстура крема быстро впитывается и не оставляет липкости — ничего не отвлечет малыша от игр или купания в море (да, он еще и устойчив к воде). Сохраняй, чтобы взять с собой в отпуск!

Реклама",98873,43,29,"{'ReactionCustomEmoji(document_id=5292238301036559394)': 378, ""ReactionEmoji(emoticon='❤')"": 301, ""ReactionEmoji(emoticon='😍')"": 87, ""ReactionEmoji(emoticon='🔥')"": 56, ""ReactionEmoji(emoticon='👍')"": 24, ""ReactionEmoji(emoticon='😁')"": 12, ""ReactionEmoji(emoticon='⚡')"": 10, ""ReactionEmoji(emoticon='😇')"": 10}",6,1,301,878
18957,2025-05-29 08:30:01+00:00,"Разыгрываем бьюти-бокс со стрима «Макияж для подростковой кожи»🔥

В прямом эфире блогер Кира Дмитриева @kkkkiiirraaa  поделилась личными советами и лайфхаками. Всю косметику, которую показала Кира, мы подарим одному из вас! Если вы пропустили стрим, посмотреть его можно здесь: https://goldapple.onelink.me/yDv0/0ai08vfo

Для участия: 

— подписывайтесь на канал @goldapple;
— нажимайте на кнопку «участвую» ниже; 
— отправляйте друзьям, которые тоже хотели бы проверить удачу✨ 

* Принимая участие в конкурсе, вы даете согласие на публикацию активной ссылки на свой аккаунт в случае победы.

Наш бот автоматически выберет 1 победителя 9 июня, его ник появится в тексте этого поста! Участвует вся Россия.

Конкурс завершен в 09.06.2025 13:00 МСК
Всего участников: 22111
Поздравляем победителей: 
Sonia - @chainsav",137132,2231,3,"{""ReactionEmoji(emoticon='❤')"": 2570, 'ReactionCustomEmoji(document_id=5246778936951602392)': 901, ""ReactionEmoji(emoticon='🔥')"": 731, ""ReactionEmoji(emoticon='😍')"": 201, ""ReactionEmoji(emoticon='👍')"": 93, ""ReactionEmoji(emoticon='⚡')"": 57, ""ReactionEmoji(emoticon='😇')"": 42, ""ReactionEmoji(emoticon='😁')"": 40}",8,3,2570,4635
18190,2025-04-16 05:34:40+00:00,"Завтрак с авокадо и бенедиктом, конечно, хорошо. Но ведь его надо еще приготовить…

Для этого дополнили раздел техники помощниками на утро (и не только) — блендер и соковыжималка, утюжок для быстрой укладки и вертикальный пылесос, чтобы реже откладывать уборку:

— погружной блендер Kitfort
— щипцы Dewal
— моющий вертикальный пылесос Dreame
— вафельница Galaxy Line
— бритва Metz
— шнековая соковыжималка Dauken

Реклама",127033,100,56,"{""ReactionEmoji(emoticon='❤')"": 605, 'ReactionCustomEmoji(document_id=5343638107403087029)': 238, ""ReactionEmoji(emoticon='👍')"": 190, ""ReactionEmoji(emoticon='🔥')"": 81, ""ReactionEmoji(emoticon='😇')"": 16, ""ReactionEmoji(emoticon='⚡')"": 12, ""ReactionEmoji(emoticon='😁')"": 12, ""ReactionEmoji(emoticon='😍')"": 12}",5,2,605,1166
19717,2025-07-14 15:20:16+00:00,А вот если бы у Лео были матирующие салфетки…,114595,152,50,"{""ReactionEmoji(emoticon='😁')"": 1414, ""ReactionEmoji(emoticon='❤')"": 468, 'ReactionCustomEmoji(document_id=5408936677047570928)': 294, ""ReactionEmoji(emoticon='👍')"": 82, ""ReactionEmoji(emoticon='🔥')"": 30, ""ReactionEmoji(emoticon='😇')"": 21, ""ReactionEmoji(emoticon='😍')"": 18, ""ReactionEmoji(emoticon='⚡')"": 14}",15,0,468,2341
18870,2025-05-25 13:18:51+00:00,"Что подарить своей девушке? Составили бьюти-помощник для парней🫶🏼

Ищите подходящее описание и смотрите, какому сюрпризу она обрадуется (ссылки оставили в комментариях). Если легче не стало, купите ей подарочную карту Золотого Яблока — не ошибетесь!

P.S. Девушки, используйте этот пост как легкий намек. 

Реклама",98966,256,37,"{""ReactionEmoji(emoticon='❤')"": 724, 'ReactionCustomEmoji(document_id=5246778936951602392)': 242, ""ReactionEmoji(emoticon='⚡')"": 122, ""ReactionEmoji(emoticon='👍')"": 91, ""ReactionEmoji(emoticon='🔥')"": 24, ""ReactionEmoji(emoticon='😍')"": 23, ""ReactionEmoji(emoticon='😁')"": 21, ""ReactionEmoji(emoticon='😇')"": 18}",13,6,724,1265
