id,date,text,views,forwards,replies,reactions
21022,2025-09-18 06:24:59+00:00,"Провокация в каждой ноте — встречайте новые ароматы Scandal Intense для неё и для него!

Легендарная коллекция Scandal Jean Paul Gaultier пополнилась дуэтом новинок Intense — ещё более дерзких и ярких интерпретаций любимых ароматов.

Scandal Intense — соблазнительная цветочно-пряная амбра, яркий иланг-иланг, огненный кардамон и обволакивающая ваниль складываются в шлейф, от которого невозможно оторваться. Флакон из темно-фиолетового стекла украшен золотыми ножками — фирменным знаком коллекции.

Scandal Intense Pour Homme — необузданная сила в древесно-кожаном аккорде, мягкая кожа, жгучий ветивер и мускатный шалфей разжигают внутренний огонь с первых нот. Черный стеклянный флакон увенчан золотой короной, завершающей мужественный образ.

Два аромата для нее и для него уже в Золотом Яблоке — выбирай свой.

Реклама",30444,79,21,"{""ReactionEmoji(emoticon='❤')"": 226, 'ReactionCustomEmoji(document_id=5294214784856649592)': 145, ""ReactionEmoji(emoticon='🔥')"": 74, ""ReactionEmoji(emoticon='😁')"": 23, ""ReactionEmoji(emoticon='👍')"": 7, ""ReactionEmoji(emoticon='⚡')"": 2, ""ReactionEmoji(emoticon='😍')"": 2, ""ReactionEmoji(emoticon='😇')"": 2}"
21021,2025-09-17 16:52:09+00:00,,61303,315,0,{}
21020,2025-09-17 16:52:09+00:00,,61067,315,0,{}
21019,2025-09-17 16:52:09+00:00,,60938,316,0,{}
21018,2025-09-17 16:52:09+00:00,,59505,316,0,{}
21017,2025-09-17 16:52:09+00:00,"Наша новая любовь (после незаменимого геля для бровей) — кремовые румяна PÚSY💖

Сream Blush уже набрали 5 звёзд в приложении Золотого Яблока! Бьютиголики отмечают тающую текстуру, стойкость и шикарные оттенки: темно-терракотовый, розовый, фуксия и персиковый (свотчи по порядку). 

Матовое оформление футляра с ярким логотипом превращает их в полноценный фешн-аксессуар — на фото выглядят вау!

Реклама",60208,314,60,"{""ReactionEmoji(emoticon='❤')"": 602, 'ReactionCustomEmoji(document_id=5294214784856649592)': 338, ""ReactionEmoji(emoticon='😁')"": 110, ""ReactionEmoji(emoticon='👍')"": 61, ""ReactionEmoji(emoticon='🔥')"": 23, ""ReactionEmoji(emoticon='⚡')"": 18, ""ReactionEmoji(emoticon='😇')"": 6}"
21016,2025-09-17 15:42:51+00:00,"FOR ME, SHIKstudio, Manly PRO, «Гельтек» — знаете, что их объединяет? 

Наша любовь к ним! И еще это бренды, которые были созданы в России 💛
Мы решили собрать их в одном месте и создали целый раздел «Бренды из России» — в нем уже есть более 2 400 российских марок!

Пишите, какие из российских брендов ваши любимые — будем делиться находками друг с другом в комментариях.",55627,30,39,"{""ReactionEmoji(emoticon='❤')"": 385, 'ReactionCustomEmoji(document_id=5294214784856649592)': 200, ""ReactionEmoji(emoticon='😍')"": 85, ""ReactionEmoji(emoticon='👍')"": 63, ""ReactionEmoji(emoticon='🔥')"": 24, ""ReactionEmoji(emoticon='⚡')"": 4, ""ReactionEmoji(emoticon='😇')"": 4, ""ReactionEmoji(emoticon='😁')"": 3}"
21015,2025-09-17 14:39:39+00:00,,57475,225,0,{}
21014,2025-09-17 14:39:39+00:00,,57534,229,0,{}
21013,2025-09-17 14:39:39+00:00,,57799,224,0,{}
21012,2025-09-17 14:39:39+00:00,,55024,226,0,{}
21011,2025-09-17 14:39:39+00:00,,55886,229,0,{}
21010,2025-09-17 14:39:39+00:00,"Ваши 1000 бонусов уже на карте лояльности Золотого Яблока✨

Хочется получать только такие уведомления! Бонусы можно потратить на всё, что захочется, от 8 000 ₽. А если нужны идеи для вдохновения — мы сделали подборку осенних ароматов:

• Banana Republic Dark Cherry & Amber — вишня, пралине, амбра
• L'Atelier Parfum Douche Insomnie — розовый перец, капучино, ваниль 
• Bon Parfumeur Paris 103 — гибискус, жасмин, песок
• Liquides Imaginaires Blanche Bête — молоко, ладан, какао
• Chopard Miel d'Arabie — мед, специи, гранат, чай 
• Birkholz Berlin Heaven — черная смородина, ландыш, древесные ноты",56176,234,52,"{""ReactionEmoji(emoticon='❤')"": 343, 'ReactionCustomEmoji(document_id=5294214784856649592)': 192, ""ReactionEmoji(emoticon='🔥')"": 97, ""ReactionEmoji(emoticon='⚡')"": 29, ""ReactionEmoji(emoticon='👍')"": 19, ""ReactionEmoji(emoticon='😁')"": 7, ""ReactionEmoji(emoticon='😇')"": 5, ""ReactionEmoji(emoticon='😍')"": 4}"
